R,G,B,,Class
223,195,156,,0
234,215,194,,0
228,210,192,,0
237,218,196,,0
236,219,193,,0
232,216,186,,0
231,217,185,,0
232,219,188,,0
230,219,191,,0
236,224,198,,1
232,223,199,,0
233,225,202,,1
237,230,207,,1
232,225,201,,0
233,226,202,,1
234,226,203,,1
233,226,203,,1
231,224,200,,0
233,226,202,,1
231,222,196,,0
236,225,196,,1
232,220,190,,0
232,219,187,,0
234,217,184,,0
226,206,173,,0
223,204,167,,0
233,213,175,,0
232,210,171,,0
230,209,173,,0
232,212,177,,0
229,209,173,,0
226,204,167,,0
228,205,166,,0
225,201,160,,0
220,192,150,,0
219,191,149,,0
214,185,141,,0
217,184,141,,0
216,178,137,,0
213,174,133,,0
211,172,131,,0
208,169,129,,0
215,187,166,,0
231,206,182,,0
225,203,176,,0
220,201,172,,0
229,212,181,,0
235,218,187,,0
233,215,191,,0
235,218,197,,0
238,222,198,,0
234,220,193,,0
228,216,186,,0
233,221,191,,0
231,220,190,,0
235,224,196,,0
235,223,197,,0
233,226,201,,1
233,228,206,,1
233,227,205,,1
232,227,205,,1
232,226,204,,1
232,227,205,,1
232,226,204,,1
231,225,203,,0
230,225,203,,0
229,221,196,,0
232,223,194,,0
232,222,193,,0
235,225,194,,1
234,222,190,,0
230,216,182,,0
231,216,182,,0
234,215,181,,0
235,215,180,,0
234,215,181,,0
231,214,179,,0
231,214,178,,0
233,215,177,,0
232,212,172,,0
228,205,164,,0
225,201,160,,0
227,202,160,,0
222,197,153,,0
226,198,154,,0
219,189,143,,0
202,172,126,,0
206,178,131,,0
209,181,135,,0
213,186,140,,0
213,185,139,,0
213,184,138,,0
207,177,131,,0
207,176,132,,0
206,173,133,,0
194,160,122,,0
176,141,106,,0
162,126,94,,0
203,171,150,,0
223,193,171,,0
230,203,181,,0
224,201,175,,0
231,210,182,,0
230,212,182,,0
234,219,186,,0
235,220,187,,0
236,219,192,,0
239,220,196,,0
238,222,196,,0
236,223,196,,0
233,224,195,,0
235,226,197,,1
235,226,197,,1
239,228,200,,1
241,228,200,,1
237,227,203,,1
235,227,204,,1
236,228,205,,1
236,228,205,,1
236,228,205,,1
236,228,205,,1
234,226,203,,1
233,225,202,,1
232,224,201,,0
231,222,196,,0
234,225,196,,1
233,225,196,,0
234,226,197,,1
233,223,193,,0
234,223,191,,0
236,221,190,,0
237,218,186,,0
237,216,185,,0
235,215,182,,0
231,213,176,,0
230,211,174,,0
232,212,175,,0
231,212,172,,0
238,216,177,,0
229,207,168,,0
236,213,172,,0
233,210,169,,0
226,201,159,,0
212,188,142,,0
208,186,140,,0
219,199,153,,0
218,200,153,,0
219,201,154,,0
223,204,159,,0
221,199,156,,0
221,199,154,,0
233,206,164,,0
235,204,165,,0
223,190,152,,0
206,172,135,,0
202,169,132,,0
193,157,123,,0
187,151,118,,0
172,135,103,,0
144,106,75,,0
197,171,147,,0
207,181,158,,0
224,197,176,,0
233,207,185,,0
236,214,190,,0
242,222,197,,1
234,218,190,,0
235,221,192,,0
236,223,194,,0
232,221,191,,0
240,222,194,,0
243,222,195,,1
240,223,195,,1
238,224,197,,1
237,226,199,,1
235,225,198,,1
235,224,197,,0
234,222,196,,0
236,220,194,,0
235,223,198,,0
236,224,200,,1
236,224,200,,1
236,224,200,,1
236,224,200,,1
237,225,201,,1
235,223,199,,0
234,222,198,,0
233,221,197,,0
232,220,195,,0
235,224,196,,0
233,224,195,,0
